saleRef,saleDate,customer,branch,warehouse,item,unit,qty,unitPrice,discount,payment,dueDate,statedTotal,notes
SLS-90271,2026-02-24,Al-Marzouq Home 12,Rai Branch,Rai Branch,Ingco Welding Gloves 900W,PCS,2,23.633,,cash,,47.266,Migrated from legacy system
SLS-90272,2026-04-09,Continental Maintenance Co. 12,Ardiya Warehouse,Ardiya Warehouse,Metabo Flexible Wire 1500W,PCS,10,2.267,,credit,2026-07-08,439.617,
SLS-90272,2026-04-09,Continental Maintenance Co. 12,Ardiya Warehouse,Ardiya Warehouse,Karcher Spray Paint Can 20 Gauge,PCS,2,27.155,,credit,2026-07-08,,Migrated from legacy system
SLS-90272,2026-04-09,Continental Maintenance Co. 12,Ardiya Warehouse,Ardiya Warehouse,Truper Common Nail 4L,pcs,11,32.967,,credit,2026-07-08,,
SLS-90273,2026-03-16,Jahra Building Supplies Buyer 11,Rai Branch,Rai Branch,AL-FANAR MIG WELDER 24 GAUGE,PCS,12,5.001,2.788,credit,2026-06-14,314.352,
SLS-90273,2026-03-16,Jahra Building Supplies Buyer 11,Rai Branch,Rai Branch,Tolsen Mcb Circuit Breaker 650W,PCS,8,33.822,13.448,credit,2026-06-14,,Migrated from legacy system
SLS-90274,2026-05-01,Al-Anjari Villas 6,Shuwaikh Main,Shuwaikh Main,Al-Fanar Epoxy Adhesive 12mm,PCS,10,1.626,,bank_transfer,,KWD 214.536,Migrated from legacy system
SLS-90274,2026-05-01,Al-Anjari Villas 6,Shuwaikh Main,Shuwaikh Main,Truper Welding Gloves 1L,PCS,12,4.313,,bank_transfer,,,Migrated from legacy system
SLS-90274,2026-05-01,Al-Anjari Villas 6,Shuwaikh Main,Shuwaikh Main,Hitachi Machine Screw 20L,PCS,11,13.320,,bank_transfer,,,
SLS-90275,2025-09-16,CONTINENTAL MAINTENANCE CO.  EST. 2  ,Ardiya Warehouse,Ardiya Warehouse,Ingco  Door Lock 16mm,PCS,10,19.868,9.134,cash,,246.050,Migrated from legacy system
SLS-90275,2025-09-16,CONTINENTAL MAINTENANCE CO.  EST. 2  ,Ardiya Warehouse,Ardiya Warehouse,Ingco Wall Primer 2000W,PCS,6,3.539,,cash,,,
SLS-90275,2025-09-16,CONTINENTAL MAINTENANCE CO.  EST. 2  ,Ardiya Warehouse,Ardiya Warehouse,Karcher Combination Wrench Medium,PCS,2,KWD 17.687,0.104,cash,,,
SLS-90276,2026-02-06,Al-Bahar Property Services 8,Ardiya Warehouse,Ardiya Warehouse,"YATO VERNIER CALIPER 22 GAUGE,",PCS,10,10.660,,cash,,332.203,
SLS-90276,2026-02-06,Al-Bahar Property Services 8,Ardiya Warehouse,Ardiya Warehouse,Gulf Star Door Handle 1kg,PCS,7,32.229,,cash,,,Migrated from legacy system
SLS-90277,2026-01-08,Al-Ajmi Interiors  Est.,Rai Branch,Rai Branch,Bosch Platform Ladder 1L,Nos,5,32.645,,cash,,KD 210.852,Migrated from legacy system
SLS-90277,2026-01-08,Al-Ajmi Interiors  Est.,Rai Branch,Rai Branch,Yato Wood Screw 25mm,PCS,4,0.544,,cash,,,
SLS-90277,2026-01-08,Al-Ajmi Interiors  Est.,Rai Branch,Rai Branch,Crown Work Gloves 20L,PCS,7,6.493,,cash,,,
SLS-90278,2026-07-24,  Al-Marzouq Home 4.,Fahaheel Branch,Fahaheel Branch,DeWalt Paint Thinner 1200W,PCS,10,29.525,,bank_transfer,,327.530,
SLS-90278,2026-07-24,  Al-Marzouq Home 4.,Fahaheel Branch,Fahaheel Branch,"BOSCH SPRAY PAINT CAN 450W,",pcs,5,KWD 6.456,,bank_transfer,,,
SLS-90279,2025-12-16,Al-Sabah Villa Services 2,Ardiya Warehouse,Ardiya Warehouse,TRUPER WALL PLUG XL,PC,5,9.381,,cash,,46.905,
SLS-90280,2026-04-13,GULF FACILITY MANAGEMENT  EST. 9,Shuwaikh Main,Shuwaikh Main,Hilti Spring Washer 18 Gauge,PCS,4,13.891,0.427,cash,,69.743,
SLS-90280,2026-04-13,GULF FACILITY MANAGEMENT  EST. 9,Shuwaikh Main,Shuwaikh Main,DeWalt Door Hinge 12mm,Pieces,2,7.303,,cash,,,
SLS-90281,2026-04-04,Ahmad Al-Kandari 12,Rai Branch,Rai Branch,DeWalt Thermal Insulation Sheet 50kg,PCS,3,1.576,0.235,credit,2026-05-04,105.041,
SLS-90281,2026-04-04,Ahmad Al-Kandari 12,Rai Branch,Rai Branch,Ridgid Wheelbarrow 25kg,PCS,4,15.966,,credit,2026-05-04,,Migrated from legacy system
SLS-90281,2026-04-04,Ahmad Al-Kandari 12,Rai Branch,Rai Branch,Black+Decker Laser Level Small,PCS,3,12.228,,credit,2026-05-04,,
SLS-90282,2026-06-12,Al-Zamil Villas 3.,Shuwaikh Main,Shuwaikh Main,Black+Decker Paint Roller 1kg,Pieces,12,KD 29.453,,cash,,752.516,Migrated from legacy system
SLS-90282,2026-06-12,Al-Zamil Villas 3.,Shuwaikh Main,Shuwaikh Main,Tolsen ARC Welding Machine Medium,PCS,11,36.280,,cash,,,
SLS-90283,2026-05-17,Al-Rashed Villas 5,Fahaheel Branch,Fahaheel Branch,Truper PPR Pipe 6mm,PCS,7,12.348,,credit,2026-06-16,96.578,Migrated from legacy system
SLS-90283,2026-05-17,Al-Rashed Villas 5,Fahaheel Branch,Fahaheel Branch,Al-Fanar Wood Screw 4L,PCS,11,0.922,,credit,2026-06-16,,
SLS-90284,2026-01-06, Al-Zamil Villas  Est. 5 ,Shuwaikh Main,Shuwaikh Main,SATA SELF TAPPING SCREW 50MM,PCS,12,26.522,11.095,credit,2026-02-20,602.067,Migrated from legacy system
SLS-90284,2026-01-06, Al-Zamil Villas  Est. 5 ,Shuwaikh Main,Shuwaikh Main,Ingco Steel Toe Safety Boots 9L,PCS,12,25.061,5.834,credit,2026-02-20,,Migrated from legacy system
SLS-90285,2026-05-02,Desert Rose Interiors  Est. 5,Ardiya Warehouse,Ardiya Warehouse,Metabo PVC Conduit Pipe 12mm,PCS,4,25.373,,bank_transfer,,256.532,Migrated from legacy system
SLS-90285,2026-05-02,Desert Rose Interiors  Est. 5,Ardiya Warehouse,Ardiya Warehouse,Ridgid Portable Generator 16 Gauge,PCS,4,6.621,0.333,bank_transfer,,,
SLS-90285,2026-05-02,Desert Rose Interiors  Est. 5,Ardiya Warehouse,Ardiya Warehouse,SKIL PLATFORM LADDER 750W,PCS,10,13.002,1.131,bank_transfer,,,Migrated from legacy system
SLS-90286,2026-01-09,AL-WAZZAN MAINTENANCE,Shuwaikh Main,Shuwaikh Main,Al-Fanar Paint Roller Small,PCS,12,4.914,,credit,2026-02-23,58.968,Migrated from legacy system
SLS-90287,2025-10-22,Al-Ajmi Interiors 13,Shuwaikh Main,Shuwaikh Main,Al-Fanar Copper Tee 1 inch,PCS,8,KD 159.565,KD 54.330,credit,2025-11-06,1244.775,
SLS-90287,2025-10-22,Al-Ajmi Interiors 13,Shuwaikh Main,Shuwaikh Main,  metabo tape measure 20 gauge,Nos,5,4.517,,credit,2025-11-06,,Migrated from legacy system
SLS-90288,2026-07-01,Al-Fahad Contracting 3,Ardiya Warehouse,Ardiya Warehouse,Hilti Ball Valve 25mm,PCS,9,31.052,,cash,,318.696,Migrated from legacy system
SLS-90288,2026-07-01,Al-Fahad Contracting 3,Ardiya Warehouse,Ardiya Warehouse,Al-Fanar Thermal Insulation Sheet 1/4 inch,PCS,4,9.807,,cash,,,
SLS-90289,2025-10-24,Al-Marzouq Home 8,Rai Branch,Rai Branch,Total Safety Goggles 1200W,PCS,1,15.289,,credit,2026-01-22,15.289,Migrated from legacy system
SLS-90290,2025-08-18,Salmiya Handyman Services  Est. 8,Shuwaikh Main,Shuwaikh Main,Metabo Sandpaper Sheet 3/8 inch,PCS,8,10.837,,cash,,86.696,Migrated from legacy system
SLS-90291,2026-01-28,Gulf Builders 5,Fahaheel Branch,Fahaheel Branch,INGCO STEEL TOE SAFETY BOOTS 20L,PC,9,14.086,,cash,,296.642,
SLS-90291,2026-01-28,Gulf Builders 5,Fahaheel Branch,Fahaheel Branch,Karcher Electric Planer 25kg,PCS,4,34.157,,cash,,,
SLS-90291,2026-01-28,Gulf Builders 5,Fahaheel Branch,Fahaheel Branch,Hitachi Galvanized Metal Sheet 450W,PC,1,33.240,,cash,,,
SLS-90292,2026-01-12,Al-Roumi Renovation  Est.  ,Shuwaikh Main,Shuwaikh Main,Karcher Safety Goggles 1/2 inch,PCS,6,28.900,1.274,credit,2026-01-27,172.126,
SLS-90293,2026-07-12,Gulf  Builders  Est. 12,Ardiya Warehouse,Ardiya Warehouse,Skil Tape Measure 8mm,pc,5,28.530,,cash,,427.419,
SLS-90293,2026-07-12,Gulf  Builders  Est. 12,Ardiya Warehouse,Ardiya Warehouse,Makita Wire Brush 1/4 inch,PCS,3,22.103,,cash,,,
SLS-90293,2026-07-12,Gulf  Builders  Est. 12,Ardiya Warehouse,Ardiya Warehouse,Black+Decker Platform Ladder 24 Gauge,PC,12,KWD 18.205,,cash,,,
SLS-90294,2026-07-20,Al-Enezi General Maintenance 3,Shuwaikh Main,Shuwaikh Main,Makita Wood Screw 25mm,PCS,8,375.450,,bank_transfer,,"3,003.600",Migrated from legacy system
SLS-90295,2025-12-18,Al-Roumi Renovation 10.,Rai Branch,Rai Branch,Sata PVC Pipe 25kg,PCS,12,1.627,,credit,2026-01-17,20.151,Migrated from legacy system
SLS-90295,2025-12-18,Al-Roumi Renovation 10.,Rai Branch,Rai Branch,Al-Fanar Laser Level 3/4 inch,pcs,1,0.627,,credit,2026-01-17,,
