saleRef,saleDate,customer,branch,warehouse,item,unit,qty,unitPrice,discount,payment,dueDate,statedTotal,notes
SLS-90523,1/4/2026,Union Facility Services  Est. 3  ,Shuwaikh Main,Shuwaikh Main,Ingco  Pipe Sealant 3/4 inch,PCS,11,0.372,,bank_transfer,,4.092,
SLS-90524,18/2/2026,Al-Enezi General Maintenance 3,Shuwaikh Main,Shuwaikh Main,Skil Locking Pliers 32mm,Pieces,5,2.535,,cash,,12.675,Migrated from legacy system
SLS-90525,29/11/2025,Al-Enezi General Maintenance  Est. 13,Rai Branch,Rai Branch,Black+Decker Hex Nut 50kg,PCS,2,KD 9.881,,cash,,123.709,Migrated from legacy system
SLS-90525,29/11/2025,Al-Enezi General Maintenance  Est. 13,Rai Branch,Rai Branch, BOSCH CIRCULAR SAW 8MM ,PCS,4,27.302,5.261,cash,,,Migrated from legacy system
SLS-90526,22/2/2026,Salmiya Handyman Services 9,Ardiya Warehouse,Ardiya Warehouse,skil tile adhesive bag 32mm,PCS,8,33.278,12.325,bank_transfer,,373.729,Migrated from legacy system
SLS-90526,22/2/2026,Salmiya Handyman Services 9,Ardiya Warehouse,Ardiya Warehouse,Yato Scaffolding Frame XL,PCS,5,23.966,,bank_transfer,,,Migrated from legacy system
SLS-90527,13/11/2025,Ahmad Al-Kandari  Est. 4,Ardiya Warehouse,Ardiya Warehouse,Karcher Basin Tap 20mm,PCS,8,16.668,3.919,credit,13/12/2025,129.425,
SLS-90528,28/1/2026,Al-Ghanim Home Repairs  Est. 7,Rai Branch,Rai Branch,Metabo Drawer Slide 3/8 inch,PC,1,4.317,,bank_transfer,,125.055,
SLS-90528,28/1/2026,Al-Ghanim Home Repairs  Est. 7,Rai Branch,Rai Branch,Al-Fanar Steel Toe Safety Boots 3/4 inch,PCS,10,12.433,3.592,bank_transfer,,,
SLS-90529,27/10/2025,GULF FACILITY MANAGEMENT 5,Fahaheel Branch,Fahaheel Branch,Hitachi Mini Grinder 18 Gauge,PCS,9,17.419,,bank_transfer,,175.494,Migrated from legacy system
SLS-90529,27/10/2025,GULF FACILITY MANAGEMENT 5,Fahaheel Branch,Fahaheel Branch,black+decker extension cord 5kg,PCS,7,2.778,0.723,bank_transfer,,,Migrated from legacy system
SLS-90530,1/8/2026,Al-Yaqout Villas 10,Rai Branch,Rai Branch,DeWalt Garden Cart 50kg,PCS,8,21.993,,credit,31/8/2026,274.344,Migrated from legacy system
SLS-90530,1/8/2026,Al-Yaqout Villas 10,Rai Branch,Rai Branch,Ridgid Spirit Level 4L,PCS,3,32.800,,credit,31/8/2026,,
SLS-90531,30/7/2026,Al-Mutairi Est. 6,Ardiya Warehouse,Ardiya Warehouse,Hilti Electrical Cable 22 Gauge,Nos,7,22.499,,bank_transfer,,157.493,
SLS-90532,18/6/2026,Al-Mutairi Est. 3,Ardiya Warehouse,Ardiya Warehouse,Metabo Common Nail 20L,PCS,4,14.244,,credit,17/8/2026,245.871,Migrated from legacy system
SLS-90532,18/6/2026,Al-Mutairi Est. 3,Ardiya Warehouse,Ardiya Warehouse,BLACK+DECKER PU FOAM FILLER LARGE,PCS,3,22.925,,credit,17/8/2026,,
SLS-90532,18/6/2026,Al-Mutairi Est. 3,Ardiya Warehouse,Ardiya Warehouse,Hitachi Flat Screwdriver 750W,PCS,12,10.010,,credit,17/8/2026,,
SLS-90533,14/10/2025,Continental  Maintenance Co. 5,Rai Branch,Rai Branch,Metabo Sandpaper Sheet 450W,PCS,7,24.308,,credit,29/10/2025,356.606,Migrated from legacy system
SLS-90533,14/10/2025,Continental  Maintenance Co. 5,Rai Branch,Rai Branch,metabo pruning shears 12mm,PCS,6,31.075,,credit,29/10/2025,,Migrated from legacy system
SLS-90534,15/4/2026,Fahaheel Home Services 8,Ardiya Warehouse,Ardiya Warehouse,Metabo Door Handle 1200W,PCS,5,26.105,,credit,14/6/2026,221.277,
SLS-90534,15/4/2026,Fahaheel Home Services 8,Ardiya Warehouse,Ardiya Warehouse,Crown Tile Adhesive Bag 2000W,PCS,8,11.344,,credit,14/6/2026,,
SLS-90535,19/11/2025,Gulf  Builders  Est. 12,Ardiya Warehouse,Ardiya Warehouse, Ridgid Aluminium Ladder 20 Gauge ,PCS,5,23.028,,bank_transfer,,437.379,
