saleRef,saleDate,customer,branch,warehouse,item,unit,qty,unitPrice,discount,payment,dueDate,statedTotal,notes
SLS-90001,29/11/2025,Ahmad Al-Kandari 8,Rai Branch,Rai Branch,Ridgid Portable Generator 25kg,PCS,3,3.833,,cash,,80.964,Migrated from legacy system
SLS-90001,29/11/2025,Ahmad Al-Kandari 8,Rai Branch,Rai Branch,Skil Safety Goggles 50kg,PCS,3,23.155,,cash,,,
SLS-90002,8/9/2025,Al-Enezi General Maintenance  Est. 5,Shuwaikh Main,Shuwaikh Main,Ingco Door Hinge 3/4 inch,PCS,11,KD 8.045,,credit,7/11/2025,447.594,
SLS-90002,8/9/2025,Al-Enezi General Maintenance  Est. 5,Shuwaikh Main,Shuwaikh Main,Yato Step Stool 1/4 inch,Nos,4,18.087,,credit,7/11/2025,,Migrated from legacy system
SLS-90002,8/9/2025,Al-Enezi General Maintenance  Est. 5,Shuwaikh Main,Shuwaikh Main,Stanley PPR Pipe 1500W.,PCS,12,25.081,14.221,credit,7/11/2025,,Migrated from legacy system
SLS-90003,5/8/2026,Fahaheel Home Services 10,Ardiya Warehouse,Ardiya Warehouse,"Tolsen PVC Pipe 1kg,",Nos,7,32.341,5.797,credit,4/9/2026,220.590,Migrated from legacy system
SLS-90004,17/2/2026,Al-Bahar Property Services 10,Shuwaikh Main,Shuwaikh Main,Ridgid Wire Brush 3/4 inch,Nos,12,16.454,3.619,cash,,KWD 193.829,Migrated from legacy system
SLS-90005,25/12/2025,Al-Mutairi Est.  Est. 2,Rai Branch,Rai Branch,black+decker plastic water tank medium,pcs,12,KWD 22.678,KWD 9.135,cash,,263.001,
SLS-90006,19/1/2026,Al-Sabah Villa Services 6,Ardiya Warehouse,Ardiya Warehouse,Yato Hex Nut 25kg,PCS,2,2.998,,bank_transfer,,5.996,
SLS-90007,2/12/2025,Al-Duaij Maintenance  Est.,Rai Branch,Rai Branch,Yato PVC Pipe 2000W,PCS,1,6.364,0.280,credit,1/1/2026,6.084,
SLS-90008,14/11/2025,Al-Nasser Renovation 10,Ardiya Warehouse,Ardiya Warehouse,DeWalt Dust Mask Respirator 8mm,PC,9,17.435,4.952,cash,,152.038,
SLS-90009,14/9/2025,Al-Ajmi Interiors 11,Fahaheel Branch,Fahaheel Branch,Total Plastic Water Tank 20L,Pieces,9,29.273,,bank_transfer,,KWD 263.457,Migrated from legacy system
SLS-90010,18/7/2026,Al-Yaqout Villas 4,Rai Branch,Rai Branch,STANLEY SANDPAPER SHEET 18 GAUGE,PCS,10,20.057,,cash,,442.510,
SLS-90010,18/7/2026,Al-Yaqout Villas 4,Rai Branch,Rai Branch,Tolsen Welding Mask 1/4 inch,PCS,7,35.644,7.518,cash,,,Migrated from legacy system
SLS-90011,2/2/2026,GULF BUILDERS 9,Fahaheel Branch,Fahaheel Branch,Bosch Hacksaw 32mm,PCS,1,KWD 17.134,,cash,,17.134,Migrated from legacy system
SLS-90012,19/4/2026,  Al-Marzouq Home 4.,Shuwaikh Main,Shuwaikh Main,ridgid wheelbarrow 1kg,PCS,1,17.523,,bank_transfer,,262.265,
SLS-90012,19/4/2026,  Al-Marzouq Home 4.,Shuwaikh Main,Shuwaikh Main,Truper Gate Valve Large,PCS,8,32.089,11.970,bank_transfer,,,
SLS-90013,31/1/2026,Union Facility Services  Est. 9,Shuwaikh Main,Shuwaikh Main,Metabo Electric Planer 1 inch,pc,4,31.749,KD 1.315,cash,,125.681,
SLS-90014,19/5/2026,Al-Bahar Property Services 8,Shuwaikh Main,Shuwaikh Main,Total Plastic Water Tank 20L,PCS,1,29.273,,credit,18/7/2026,313.997,Migrated from legacy system
SLS-90014,19/5/2026,Al-Bahar Property Services 8,Shuwaikh Main,Shuwaikh Main,Ingco Steel Chain 1/4 inch,pcs,4,71.181,,credit,18/7/2026,,
SLS-90015,14/7/2026,Ahmadi Villa Care 7,Shuwaikh Main,Shuwaikh Main,DeWalt Welding Mask 3/4 inch,pcs,4,5.752,,bank_transfer,,216.305,Migrated from legacy system
SLS-90015,14/7/2026,Ahmadi Villa Care 7,Shuwaikh Main,Shuwaikh Main,Hitachi Circular Saw 16 Gauge,PCS,8,8.479,,bank_transfer,,,Migrated from legacy system
SLS-90015,14/7/2026,Ahmadi Villa Care 7,Shuwaikh Main,Shuwaikh Main,Ingco PVC Conduit Pipe 5kg,PCS,5,25.091,,bank_transfer,,,
SLS-90016,29/12/2025,Al-Fahad Contracting 3,Fahaheel Branch,Fahaheel Branch,Truper Portable Generator 25kg,PCS,12,19.107,,credit,27/2/2026,229.284,
SLS-90017,30/12/2025,Al-Marzouq Home 9,Fahaheel Branch,Fahaheel Branch,RIDGID DOOR HANDLE 1 INCH,Nos,2,0.369,,cash,,0.738,
SLS-90018,11/11/2025,Fahaheel Home Services 7,Rai Branch,Rai Branch,Ridgid PVC Pipe 1L,PCS,6,25.967,0.692,credit,9/2/2026,155.110,
