saleRef,saleDate,customer,branch,warehouse,item,unit,qty,unitPrice,discount,payment,dueDate,statedTotal,notes
SLS-91045,27/7/2026,First Gulf Interiors  Est. 10,Shuwaikh Main,Shuwaikh Main,Tolsen Wood Router 1/2 inch,PCS,12,105.656,,credit,25/10/2026,1400.747,
SLS-91045,27/7/2026,First Gulf Interiors  Est. 10,Shuwaikh Main,Shuwaikh Main,Stanley Impact Driver 20L,PCS,5,26.575,,credit,25/10/2026,,
SLS-91046,27/12/2025,Al-Wazzan Maintenance 11,Ardiya Warehouse,Ardiya Warehouse,Ridgid Welding Electrode 20L.,PCS,10,13.451,,cash,,134.510,Migrated from legacy system
SLS-91047,15/7/2026,Fahaheel Home Services  Est. 12,Shuwaikh Main,Shuwaikh Main,Total Extension Cord Large,PCS,2,4.002,,cash,,8.004,Migrated from legacy system
SLS-91048,10/11/2025,Fahaheel Home Services  Est. 12,Shuwaikh Main,Shuwaikh Main,"karcher basin tap 18l,",Nos,8,12.873,,credit,10/12/2025,102.984,Migrated from legacy system
SLS-91049,3/2/2026,Al-Fahad Contracting  Est. 13.,Ardiya Warehouse,Ardiya Warehouse,Truper Circular Saw 16 Gauge,PCS,11,26.092,,credit,20/3/2026,287.012,
SLS-91050,23/9/2025,Al-Sabah Villa Services 3,Shuwaikh Main,Shuwaikh Main,Gulf Star Paint Thinner 50mm,PCS,4,5.180,,credit,22/12/2025,KWD 20.720,
SLS-91051,28/1/2026,Jahra Building Supplies Buyer 8,Rai Branch,Rai Branch,Bosch PU Foam Filler XL,PCS,1,17.745,,bank_transfer,,17.745,Migrated from legacy system
SLS-91052,16/5/2026,Desert Rose Interiors 2,Shuwaikh Main,Shuwaikh Main,TRUPER PVC CONDUIT PIPE 3/4 INCH,PCS,10,35.808,,cash,,565.856,Migrated from legacy system
SLS-91052,16/5/2026,Desert Rose Interiors 2,Shuwaikh Main,Shuwaikh Main,black+decker plastic water tank medium,PCS,2,22.678,,cash,,,Migrated from legacy system
SLS-91052,16/5/2026,Desert Rose Interiors 2,Shuwaikh Main,Shuwaikh Main,"Al-Fanar Garden Cart 25kg,",pc,6,27.070,,cash,,,Migrated from legacy system
SLS-91053,13/4/2026,GULF BUILDERS 9,Rai Branch,Rai Branch,Ingco Dust Mask Respirator 10kg,PCS,9,13.374,3.928,cash,,203.558,
SLS-91053,13/4/2026,GULF BUILDERS 9,Rai Branch,Rai Branch, Truper Phillips Screwdriver 50kg ,PCS,9,9.680,,cash,,,Migrated from legacy system
SLS-91054,10/5/2026,Al-Bahar Property Services  Est. 11,Ardiya Warehouse,Ardiya Warehouse,Al-Fanar Emulsion Paint 3/4 inch,PCS,3,4.029,KWD 0.532,credit,9/7/2026,91.817,
SLS-91054,10/5/2026,Al-Bahar Property Services  Est. 11,Ardiya Warehouse,Ardiya Warehouse,Tolsen Cordless Drill 1 Inch,Nos,9,8.918,,credit,9/7/2026,,Migrated from legacy system
SLS-91055,9/5/2026,AL-RASHED VILLAS 10,Shuwaikh Main,Shuwaikh Main,Skil Combination Wrench Large,PCS,7,23.932,4.011,bank_transfer,,328.748,
SLS-91055,9/5/2026,AL-RASHED VILLAS 10,Shuwaikh Main,Shuwaikh Main,DeWalt Work Gloves 25kg,PCS,7,23.605,,bank_transfer,,,
SLS-91056,18/12/2025,Al-Anjari Villas  Est.,Shuwaikh Main,Shuwaikh Main,YATO SPRAY PAINT CAN 20MM,PC,11,122.014,,credit,16/2/2026,1434.904,Migrated from legacy system
SLS-91056,18/12/2025,Al-Anjari Villas  Est.,Shuwaikh Main,Shuwaikh Main,  Total Tool Kit 20 Gauge Pieces,PCS,5,18.550,,credit,16/2/2026,,Migrated from legacy system
SLS-91057,2/6/2026,Bin Hindi Property 9,Ardiya Warehouse,Ardiya Warehouse,  Crown Plastic Water Tank 4L,PCS,12,14.585,,credit,31/8/2026,442.880,Migrated from legacy system
SLS-91057,2/6/2026,Bin Hindi Property 9,Ardiya Warehouse,Ardiya Warehouse,Ridgid Basin Tap 16 Gauge,PCS,1,18.460,0.360,credit,31/8/2026,,Migrated from legacy system
SLS-91057,2/6/2026,Bin Hindi Property 9,Ardiya Warehouse,Ardiya Warehouse,Gulf Star Steel Chain 20 Gauge,PCS,8,31.220,,credit,31/8/2026,,Migrated from legacy system
SLS-91058,31/10/2025,Al-Ghanim Home Repairs 11,Ardiya Warehouse,Ardiya Warehouse,Skil Flexible Wire 25kg,PCS,10,16.477,,bank_transfer,,244.300,
SLS-91058,31/10/2025,Al-Ghanim Home Repairs 11,Ardiya Warehouse,Ardiya Warehouse,Sata Self Tapping Screw 22 Gauge,PCS,5,15.906,,bank_transfer,,,
SLS-91059,3/1/2026,First Gulf Interiors 12,Shuwaikh Main,Shuwaikh Main,Hitachi Self Tapping Screw 20L,PCS,4,31.625,,cash,,282.489,Migrated from legacy system
SLS-91059,3/1/2026,First Gulf Interiors 12,Shuwaikh Main,Shuwaikh Main,Hilti Common Nail 16Mm,PCS,8,17.600,,cash,,,
SLS-91059,3/1/2026,First Gulf Interiors 12,Shuwaikh Main,Shuwaikh Main,DeWalt Tape Measure 10kg,Nos,1,15.189,,cash,,,Migrated from legacy system
SLS-91060,25/3/2026,Al-Fahad Contracting,Rai Branch,Rai Branch,Truper Steel Toe Safety Boots 1/4 inch,PCS,3,29.194,,cash,,87.582,Migrated from legacy system
SLS-91061,26/12/2025,Al-Marzouq Home 11,Ardiya Warehouse,Ardiya Warehouse,Bosch Door Handle 3/4 inch,PCS,10,0.487,KD 0.196,cash,,336.600,
SLS-91061,26/12/2025,Al-Marzouq Home 11,Ardiya Warehouse,Ardiya Warehouse,Makita Grinding Disc 1200W,PCS,9,7.474,,cash,,,
SLS-91061,26/12/2025,Al-Marzouq Home 11,Ardiya Warehouse,Ardiya Warehouse,Al-Fanar Wire Brush 25kg,Pieces,10,27.854,KWD 13.880,cash,,,
SLS-91062,21/12/2025,Jahra Building Supplies Buyer 12,Rai Branch,Rai Branch,Ingco Gate Valve 650W,Nos,7,26.366,3.349,bank_transfer,,234.265,
SLS-91062,21/12/2025,Jahra Building Supplies Buyer 12,Rai Branch,Rai Branch,Al-Fanar Work Gloves 1L,PC,12,2.927,,bank_transfer,,,
SLS-91062,21/12/2025,Jahra Building Supplies Buyer 12,Rai Branch,Rai Branch, Yato Safety Goggles XL ,PCS,12,1.502,0.096,bank_transfer,,,
SLS-91063,4/8/2026,Bin Hindi Property  Est. 5,Fahaheel Branch,Fahaheel Branch,Ingco PVC Conduit Pipe 20L,PCS,8,34.779,,credit,19/8/2026,278.232,
SLS-91064,28/9/2025,Nasser Al-Hajeri 7,Rai Branch,Rai Branch,DeWalt PU Foam Filler 5kg,PCS,12,21.381,,credit,27/12/2025,284.738,Migrated from legacy system
SLS-91064,28/9/2025,Nasser Al-Hajeri 7,Rai Branch,Rai Branch,DeWalt Garden Shovel 12mm,PCS,1,28.166,,credit,27/12/2025,,Migrated from legacy system
SLS-91065,17/8/2025,Salem  Al-Rashidi 10,Fahaheel Branch,Fahaheel Branch,  Karcher Door Handle 24 Gauge,PCS,3,31.149,,credit,16/10/2025,93.447,
SLS-91066,8/11/2025,Al-Mutairi Est.  Est. 12,Ardiya Warehouse,Ardiya Warehouse,Bosch Vernier Caliper 3/8 inch.,PCS,9,21.599,4.866,bank_transfer,,300.001,
SLS-91066,8/11/2025,Al-Mutairi Est.  Est. 12,Ardiya Warehouse,Ardiya Warehouse,Skil Tape Measure 8mm,Pieces,4,27.619,,bank_transfer,,,
SLS-91067,7/9/2025,Jahra Building Supplies Buyer 11,Ardiya Warehouse,Ardiya Warehouse,Metabo Steel Toe Safety Boots 24 Gauge,Pieces,1,2.796,0.026,cash,,2.770,
SLS-91068,13/11/2025,Salem Al-Rashidi 5  ,Shuwaikh Main,Shuwaikh Main,Makita Flood Light 9L,PCS,4,22.101,,bank_transfer,,103.303,Migrated from legacy system
SLS-91068,13/11/2025,Salem Al-Rashidi 5  ,Shuwaikh Main,Shuwaikh Main,DeWalt Dust Mask Respirator 1200W,PCS,1,2.675,,bank_transfer,,,
SLS-91068,13/11/2025,Salem Al-Rashidi 5  ,Shuwaikh Main,Shuwaikh Main,Tolsen Grinding Disc 16 Gauge,PCS,7,1.769,0.159,bank_transfer,,,
SLS-91069,13/7/2026,Al-Ajmi Interiors 11,Fahaheel Branch,Fahaheel Branch,Metabo Door Lock 12mm,PC,4,19.367,,cash,,580.850,Migrated from legacy system
SLS-91069,13/7/2026,Al-Ajmi Interiors 11,Fahaheel Branch,Fahaheel Branch,Hilti Wheelbarrow 1kg,PCS,12,KWD 27.325,,cash,,,
SLS-91069,13/7/2026,Al-Ajmi Interiors 11,Fahaheel Branch,Fahaheel Branch,Stanley Tile Adhesive Bag 650W,PCS,6,29.247,,cash,,,
SLS-91070,14/6/2026,Farwaniya Fix-It Center 9,Rai Branch,Rai Branch,Metabo Aluminium Ladder 3/8 inch,Pieces,6,30.158,,cash,,KWD 312.684,Migrated from legacy system
SLS-91070,14/6/2026,Farwaniya Fix-It Center 9,Rai Branch,Rai Branch,Hilti Spring Washer 750W,PCS,8,16.467,,cash,,,
SLS-91071,11/8/2025,Ahmad Al-Kandari 11,Shuwaikh Main,Shuwaikh Main,Crown Copper Tee 32mm,PCS,8,30.069,,credit,10/10/2025,514.140,Migrated from legacy system
SLS-91071,11/8/2025,Ahmad Al-Kandari 11,Shuwaikh Main,Shuwaikh Main,Crown Vernier Caliper 18L,PCS,12,KWD 22.799,,credit,10/10/2025,,Migrated from legacy system
SLS-91072,7/8/2026,Al-Fahad Contracting 10,Shuwaikh Main,Shuwaikh Main,Al-Fanar Circular Saw 4L,PCS,10,9.140,4.286,credit,6/9/2026,KWD 87.114,Migrated from legacy system
SLS-91073,7/9/2025,Al-Ajmi Interiors 11,Rai Branch,Rai Branch,BOSCH STEP STOOL XL,PCS,1,10.768,,cash,,245.599,
SLS-91073,7/9/2025,Al-Ajmi Interiors 11,Rai Branch,Rai Branch,Hilti Steel Chain 1 inch,Nos,8,30.121,6.137,cash,,,Migrated from legacy system
SLS-91074,28/4/2026,Continental Maintenance Co. 11,Fahaheel Branch,Fahaheel Branch,Sata Tool Kit 4L Pieces,PCS,7,KD 29.623,,cash,,207.361,
SLS-91075,14/9/2025, Al-Yaqout Villas 11 ,Shuwaikh Main,Shuwaikh Main,Metabo Cold Chisel 22 Gauge,PCS,11,10.552,,credit,14/10/2025,160.335,
SLS-91075,14/9/2025, Al-Yaqout Villas 11 ,Shuwaikh Main,Shuwaikh Main,Truper Wall Primer Medium,PCS,5,6.758,0.706,credit,14/10/2025,,Migrated from legacy system
SLS-91075,14/9/2025, Al-Yaqout Villas 11 ,Shuwaikh Main,Shuwaikh Main,Gulf Star Silicone Sealant Tube XL,PCS,2,KWD 5.644,KWD 0.109,credit,14/10/2025,,Migrated from legacy system
SLS-91076,20/7/2026,Al-Rashed Villas 3  ,Shuwaikh Main,Shuwaikh Main,Ridgid Garden Cart Small,PCS,8,360.554,,cash,,KWD 3147.332,
SLS-91076,20/7/2026,Al-Rashed Villas 3  ,Shuwaikh Main,Shuwaikh Main,Sata Hand Saw 32mm,PCS,10,26.290,,cash,,,
SLS-91077,7/7/2026,Al-Yaqout Villas 4,Shuwaikh Main,Shuwaikh Main,Hitachi PVC Pipe 20L,PCS,12,KWD 3.636,,cash,,KD 262.404,Migrated from legacy system
SLS-91077,7/7/2026,Al-Yaqout Villas 4,Shuwaikh Main,Shuwaikh Main,Metabo Sandpaper Sheet 450W,PCS,9,24.308,,cash,,,
SLS-91078,28/7/2026,Nasser Al-Hajeri 12,Ardiya Warehouse,Ardiya Warehouse,tolsen  flat washer 24 gauge,PCS,8,30.387,,cash,,419.528,
SLS-91078,28/7/2026,Nasser Al-Hajeri 12,Ardiya Warehouse,Ardiya Warehouse,Tolsen Pop Rivet 2000W,PCS,6,15.402,,cash,,,Migrated from legacy system
SLS-91078,28/7/2026,Nasser Al-Hajeri 12,Ardiya Warehouse,Ardiya Warehouse,Yato Tile Adhesive Bag Medium,PCS,10,8.402,,cash,,,
SLS-91079,26/7/2026,Al-Ajmi Interiors 4,Rai Branch,Rai Branch,Total Paint Thinner 4L,PCS,2,3.172,,cash,,6.344,Migrated from legacy system
SLS-91080,28/11/2025,Al-Roumi Renovation 6,Ardiya Warehouse,Ardiya Warehouse,Black+Decker  Welding Mask 20 Gauge,Pieces,1,28.747,,cash,,335.976,
SLS-91080,28/11/2025,Al-Roumi Renovation 6,Ardiya Warehouse,Ardiya Warehouse,Makita Work Gloves 9L,Pieces,9,34.291,1.390,cash,,,
SLS-91081,21/5/2026,Al-Duaij Maintenance 2,Fahaheel Branch,Fahaheel Branch,Metabo Circular Saw Medium,Nos,4,20.335,,cash,,KWD 81.340,Migrated from legacy system
SLS-91082,26/2/2026,Al-Marzouq Home 5,Fahaheel Branch,Fahaheel Branch,Truper Pop Rivet 18L,PCS,4,27.268,,bank_transfer,,477.892,Migrated from legacy system
SLS-91082,26/2/2026,Al-Marzouq Home 5,Fahaheel Branch,Fahaheel Branch,Sata Flat Screwdriver 1200W,PCS,4,27.459,,bank_transfer,,,
SLS-91082,26/2/2026,Al-Marzouq Home 5,Fahaheel Branch,Fahaheel Branch,Al-Fanar Tape Measure 20 Gauge,Nos,9,28.776,,bank_transfer,,,
SLS-91083,31/1/2026,Continental Maintenance Co. 4,Fahaheel Branch,Fahaheel Branch,Skil Sandpaper Sheet Medium,pc,8,20.960,2.780,credit,17/3/2026,164.900,
SLS-91084,29/10/2025,Al-Wazzan Maintenance 9,Fahaheel Branch,Fahaheel Branch,Tolsen  Electrical Cable 6mm,Pieces,7,14.678,,credit,28/11/2025,295.514,
SLS-91084,29/10/2025,Al-Wazzan Maintenance 9,Fahaheel Branch,Fahaheel Branch,Hitachi PU Foam Filler 9L,PCS,6,32.128,,credit,28/11/2025,,
SLS-91085,26/1/2026,Fahaheel Home Services 8,Shuwaikh Main,Shuwaikh Main,Truper Wheelbarrow 5kg,PCS,10,KD 1.337,,credit,27/3/2026,90.689,Migrated from legacy system
SLS-91085,26/1/2026,Fahaheel Home Services 8,Shuwaikh Main,Shuwaikh Main,Makita Circular Saw 20L  ,PCS,5,15.699,1.176,credit,27/3/2026,,Migrated from legacy system
