saleRef,saleDate,customer,branch,warehouse,item,unit,qty,unitPrice,discount,payment,dueDate,statedTotal,notes
SLS-91309,2026-04-23,Al-Ajmi Interiors 8,Rai Branch,Rai Branch,Ridgid Wall Primer 1500W,PCS,6,12.105,,bank_transfer,,264.024,Migrated from legacy system
SLS-91309,2026-04-23,Al-Ajmi Interiors 8,Rai Branch,Rai Branch,Bosch Extension Cord 450W,PCS,7,8.135,,bank_transfer,,,Migrated from legacy system
SLS-91309,2026-04-23,Al-Ajmi Interiors 8,Rai Branch,Rai Branch,Ingco Step Stool 1 Inch.,Pieces,7,19.207,,bank_transfer,,,Migrated from legacy system
SLS-91310,2025-08-31,Desert Rose Interiors,Fahaheel Branch,Fahaheel Branch,Metabo Tile Adhesive Bag Large,PCS,9,15.138,4.309,cash,,131.933,
SLS-91311,2026-08-06,Fahad Al-Otaibi 2,Fahaheel Branch,Fahaheel Branch,Metabo Flexible Wire Small,PCS,10,3.983,,credit,2026-08-21,39.830,Migrated from legacy system
SLS-91312,2025-10-09,Al-Duaij Maintenance  Est.,Shuwaikh Main,Shuwaikh Main,"Crown Epoxy Adhesive 6mm,",pcs,2,19.219,,cash,,38.438,Migrated from legacy system
SLS-91313,2026-01-25,Al-Nasser Renovation 5,Ardiya Warehouse,Ardiya Warehouse,Gulf Star Power Socket 5kg,PCS,5,18.834,1.230,bank_transfer,,353.052,Migrated from legacy system
SLS-91313,2026-01-25,Al-Nasser Renovation 5,Ardiya Warehouse,Ardiya Warehouse,Bosch Step Stool Large,PC,8,32.514,,bank_transfer,,,Migrated from legacy system
SLS-91314,2026-01-21,Gulf Facility Management  Est. 10,Fahaheel Branch,Fahaheel Branch,Al-Fanar Machine Screw 5kg,PCS,12,1.423,,cash,,188.004,
SLS-91314,2026-01-21,Gulf Facility Management  Est. 10,Fahaheel Branch,Fahaheel Branch,Stanley Mini Grinder 20 Gauge,PCS,12,10.222,,cash,,,Migrated from legacy system
SLS-91314,2026-01-21,Gulf Facility Management  Est. 10,Fahaheel Branch,Fahaheel Branch,Skil Platform Ladder 22 Gauge,PCS,8,6.033,,cash,,,Migrated from legacy system
SLS-91315,2025-10-30,Al-Nasser Renovation 4,Ardiya Warehouse,Ardiya Warehouse,Karcher Door Hinge 1200W,PCS,12,26.656,,credit,2025-12-14,426.132,
SLS-91315,2025-10-30,Al-Nasser Renovation 4,Ardiya Warehouse,Ardiya Warehouse,Ridgid Thermal Insulation Sheet 10mm,PCS,7,15.180,,credit,2025-12-14,,Migrated from legacy system
SLS-91316,2025-11-27,Al-Sanea Property 8,Shuwaikh Main,Shuwaikh Main,Ingco Step Stool Medium,PCS,7,31.982,10.032,credit,2025-12-27,283.962,Migrated from legacy system
SLS-91316,2025-11-27,Al-Sanea Property 8,Shuwaikh Main,Shuwaikh Main,Hilti Steel Chain 1 inch,PCS,8,8.765,,credit,2025-12-27,,
SLS-91317,2025-08-14,AL-SABAH VILLA SERVICES 13,Rai Branch,Rai Branch,Karcher Platform Ladder 22 Gauge,pcs,12,KWD 12.418,,cash,,149.016,Migrated from legacy system
SLS-91318,2025-12-08,Al-Ghanim Home Repairs  Est. 4  ,Shuwaikh Main,Shuwaikh Main,truper welding gloves small,PCS,10,0.668,,bank_transfer,,6.680,
SLS-91319,2026-07-13, First Gulf Interiors 4 ,Shuwaikh Main,Shuwaikh Main,Black+Decker PVC Pipe 20L,PCS,1,2.750,,credit,2026-09-11,1368.337,Migrated from legacy system
SLS-91319,2026-07-13, First Gulf Interiors 4 ,Shuwaikh Main,Shuwaikh Main,Tolsen Wood Router 1/2 inch,PCS,10,105.656,KD 0.951,credit,2026-09-11,,
SLS-91319,2026-07-13, First Gulf Interiors 4 ,Shuwaikh Main,Shuwaikh Main,Yato Teflon Tape 1kg,PCS,9,34.442,,credit,2026-09-11,,Migrated from legacy system
SLS-91320,2025-10-08,Salem Al-Rashidi 9,Rai Branch,Rai Branch,DeWalt Paint Thinner 3/8 inch,Pieces,5,6.272,,credit,2026-01-06,84.364,
SLS-91320,2025-10-08,Salem Al-Rashidi 9,Rai Branch,Rai Branch,Sata  Welding Mask 20L,PCS,1,24.875,0.619,credit,2026-01-06,,Migrated from legacy system
SLS-91320,2025-10-08,Salem Al-Rashidi 9,Rai Branch,Rai Branch,"DeWalt  Extension Cord Small,",PCS,2,14.515,0.282,credit,2026-01-06,,
SLS-91321,2026-02-17,Farwaniya Fix-It Center 5,Shuwaikh Main,Shuwaikh Main,DeWalt Spirit Level Large,pc,2,10.253,,bank_transfer,,194.538,
SLS-91321,2026-02-17,Farwaniya Fix-It Center 5,Shuwaikh Main,Shuwaikh Main,Skil Sledge Hammer Small,PCS,10,2.510,,bank_transfer,,,Migrated from legacy system
SLS-91321,2026-02-17,Farwaniya Fix-It Center 5,Shuwaikh Main,Shuwaikh Main,Metabo Jigsaw XL,PCS,9,16.548,,bank_transfer,,,Migrated from legacy system
SLS-91322,2025-11-24,Union Facility Services 2,Shuwaikh Main,Shuwaikh Main,Stanley Concrete Nail 4L,PCS,8,32.307,10.513,bank_transfer,,247.943,Migrated from legacy system
SLS-91323,2026-02-08,Continental Maintenance Co. 6,Fahaheel Branch,Fahaheel Branch,Al-Fanar MIG Welder 2000W,PCS,9,23.031,0.166,bank_transfer,,207.113,Migrated from legacy system
SLS-91324,2025-11-10,Bayt Al-Jomard 3,Ardiya Warehouse,Ardiya Warehouse,"Stanley Garden Cart 16 Gauge,",PCS,4,KD 23.958,,credit,2026-02-08,97.449,Migrated from legacy system
SLS-91324,2025-11-10,Bayt Al-Jomard 3,Ardiya Warehouse,Ardiya Warehouse,Metabo Gate Valve 20mm,pc,3,0.539,,credit,2026-02-08,,Migrated from legacy system
SLS-91325,2025-09-05,Al-Qadi Household 12,Shuwaikh Main,Shuwaikh Main,Makita Wood Screw 25mm,PCS,1,375.450,,cash,,741.414,Migrated from legacy system
SLS-91325,2025-09-05,Al-Qadi Household 12,Shuwaikh Main,Shuwaikh Main,Al-Fanar Welding Electrode 1L,pc,12,30.497,,cash,,,Migrated from legacy system
